Sample,X,Y,Z
0,0.062,-0.012,0.996
1,0.047,-0.016,1.012
2,0.047,-0.027,1.023
3,0.047,-0.016,1.000
4,0.047,-0.020,0.996
5,0.051,-0.023,1.012
6,0.055,-0.023,1.016
7,0.051,-0.016,0.980
8,0.051,-0.016,0.980
9,0.051,-0.027,1.016
10,0.047,-0.016,1.023
11,0.051,-0.020,1.000
12,0.055,-0.016,0.980
13,0.055,-0.020,1.008
14,0.043,-0.020,1.012
15,0.047,-0.023,0.996
16,0.051,-0.020,0.996
17,0.051,-0.016,1.008
18,0.047,-0.020,1.008
19,0.055,-0.020,1.000
20,0.062,-0.020,0.984
21,0.047,-0.020,1.012
22,0.051,-0.023,1.016
23,0.051,-0.023,0.992
24,0.047,-0.020,1.000
25,0.051,-0.023,1.012
26,0.055,-0.020,1.016
27,0.047,-0.020,1.004
28,0.051,-0.016,0.992
29,0.047,-0.023,1.004
30,0.047,-0.020,1.000
31,0.055,-0.027,1.004
32,0.043,-0.020,1.004
33,0.047,-0.020,1.000
34,0.047,-0.016,0.996
35,0.047,-0.020,0.996
36,0.051,-0.023,1.004
37,0.043,-0.016,1.000
38,0.047,-0.023,1.000
39,0.059,-0.016,0.996
40,0.047,-0.023,0.930
41,0.051,-0.016,1.004
42,0.051,-0.016,1.008
43,0.055,-0.023,1.004
44,0.047,-0.020,0.996
45,0.047,-0.020,0.996
46,0.047,-0.027,1.004
47,0.047,-0.020,1.012
48,0.047,-0.016,1.008
49,0.047,-0.012,1.004
50,0.047,-0.020,1.004
51,0.051,-0.020,1.008
52,0.055,-0.020,1.000
53,0.047,-0.023,1.000
54,0.043,-0.027,1.000
55,0.051,-0.020,1.004
56,0.043,-0.016,1.008
57,0.051,-0.023,1.004
58,0.047,-0.020,1.008
59,0.051,-0.012,0.996
60,0.062,-0.020,0.914
61,0.055,-0.020,0.996
62,0.051,-0.020,0.996
63,0.047,-0.016,1.012
64,0.043,-0.020,1.004
65,0.043,-0.016,1.008
66,0.055,-0.027,1.008
67,0.055,-0.023,1.000
68,0.059,-0.023,1.008
69,0.051,-0.023,1.000
70,0.062,-0.016,0.992
71,0.051,-0.016,1.008
72,0.055,-0.016,1.016
73,0.043,-0.016,0.992
74,0.043,-0.012,0.988
75,0.051,-0.020,1.008
76,0.047,-0.020,1.008
77,0.051,-0.027,0.996
78,0.047,-0.016,0.996
79,0.055,-0.016,1.012
80,0.047,-0.023,0.945
81,0.055,-0.016,1.004
82,0.051,-0.012,0.992
83,0.051,-0.016,1.004
84,0.051,-0.023,1.000
85,0.051,-0.016,0.996
86,0.055,-0.020,0.996
87,0.047,-0.023,1.008
88,0.055,-0.027,1.008
89,0.051,-0.020,0.996
90,0.043,-0.023,1.000
91,0.098,-0.047,1.020
92,0.293,-0.152,1.109
93,0.469,-0.289,1.117
94,0.547,-0.320,0.977
95,0.668,-0.168,1.074
96,0.867,0.078,1.383
97,0.887,0.035,1.449
98,0.688,-0.035,0.715
99,0.637,-0.055,0.586
100,0.918,-0.043,1.430
101,1.262,-0.059,1.945
102,1.141,0.078,0.930
103,0.652,0.328,-0.387
104,0.551,0.281,0.273
105,0.887,0.020,1.547
106,0.898,-0.199,1.270
107,0.609,-0.047,0.148
108,0.484,0.301,0.156
109,0.824,-0.031,1.625
110,0.809,-0.098,1.031
111,0.570,-0.039,0.133
112,0.418,0.297,0.035
113,0.508,0.141,1.781
114,0.562,0.121,1.863
115,0.648,0.277,0.910
116,0.523,0.266,0.113
117,0.551,0.289,0.637
118,0.180,0.004,1.922
119,0.062,-0.047,1.672
120,0.285,-0.035,0.875
121,0.215,-0.184,0.672
122,0.270,-0.117,1.078
123,0.211,0.059,1.664
124,0.375,0.035,1.000
125,0.414,-0.297,0.785
126,0.516,-0.484,0.566
127,0.410,-0.305,1.172
128,0.418,-0.152,1.309
129,0.527,-0.172,1.191
130,0.652,-0.035,0.586
131,0.750,0.062,0.402
132,0.602,-0.230,1.086
133,0.441,-0.398,1.418
134,0.535,-0.242,1.016
135,0.773,0.160,0.617
136,0.965,0.113,1.391
137,0.945,-0.004,1.051
138,0.180,-0.012,0.465
139,0.242,-0.074,0.914
140,0.781,0.039,1.309
141,1.133,0.242,1.422
142,1.324,0.211,1.070
143,0.984,0.094,0.766
144,0.086,-0.113,0.547
145,0.281,-0.141,0.766
146,0.469,0.578,0.605
147,0.801,0.125,1.332
148,0.852,-0.031,1.457
149,0.105,-0.020,0.914
150,0.398,0.121,-0.051
151,0.477,0.715,0.043
152,0.707,0.082,1.770
153,0.648,-0.305,1.863
154,0.371,0.133,0.984
155,0.188,-0.070,-0.445
156,0.531,0.133,0.238
157,0.566,-0.055,1.965
158,0.652,0.023,1.598
159,0.250,-0.055,0.328
160,-0.062,-0.230,-0.363
161,0.520,-0.195,1.531
162,0.633,-0.020,1.992
163,0.496,-0.094,1.586
164,0.387,-0.211,-0.020
165,0.379,0.031,-0.238
166,0.500,-0.133,1.598
167,0.930,-0.285,1.992
168,0.328,-0.043,1.047
169,0.348,0.027,-0.457
170,0.637,-0.258,0.535
171,0.766,-0.340,1.543
172,0.648,-0.051,1.004
173,0.645,-0.055,0.938
174,0.688,0.039,0.902
175,0.883,-0.074,1.105
176,0.613,0.094,0.770
177,0.645,0.137,1.051
178,0.449,-0.043,1.445
179,0.438,-0.031,0.871
180,0.242,0.168,0.828
181,0.637,0.199,0.957
182,0.863,0.246,1.078
183,0.719,0.016,1.625
184,0.863,-0.090,0.270
185,0.363,0.133,0.125
186,0.637,-0.043,1.715
187,0.922,0.355,1.566
188,0.531,0.199,1.148
189,0.059,0.102,-0.480
190,0.070,-0.152,0.578
191,0.348,-0.129,1.465
192,0.512,0.117,1.891
193,0.547,0.102,0.957
194,0.422,0.043,0.246
195,0.234,-0.035,0.859
196,0.500,-0.055,1.172
197,0.496,-0.074,1.426
198,0.730,-0.215,1.703
199,0.613,-0.043,0.883
200,0.383,0.219,0.492
201,0.906,0.066,0.801
202,0.637,-0.293,1.516
203,0.539,-0.383,1.176
204,0.617,-0.043,0.871
205,0.402,-0.004,0.879
206,0.078,-0.074,1.016
207,0.270,-0.008,0.805
208,0.367,-0.152,0.879
209,0.621,-0.188,0.645
210,0.699,-0.109,1.293
211,0.699,0.125,1.434
212,0.695,0.266,0.348
213,0.723,-0.113,1.047
214,0.332,-0.180,0.379
215,0.914,-0.004,1.004
216,0.875,0.035,1.891
217,0.547,0.148,1.723
218,0.469,0.254,0.387
219,0.191,0.109,0.238
220,0.328,-0.242,1.215
221,0.668,-0.121,1.871
222,0.938,0.164,1.285
223,0.422,0.336,0.613
