Sample,X,Y,Z
210,0.176,-0.195,0.008
211,-1.562,-0.309,-0.957
212,-0.711,0.062,1.652
213,0.539,-0.109,0.988
214,1.715,-0.371,-0.402
215,0.066,0.008,1.441
216,-1.992,0.117,1.141
217,0.219,-0.113,0.125
218,1.492,0.070,1.641
219,1.492,0.070,1.641
220,-0.098,0.203,1.680
221,-0.262,0.496,1.848
222,-1.047,0.621,1.949
223,0.164,0.371,1.164
224,0.156,-0.051,0.031
225,-1.457,0.105,0.465
226,-0.137,0.113,1.762
227,0.312,-0.086,1.500
228,0.098,-0.340,-0.383
229,0.879,-0.691,-1.176
230,0.391,-0.254,1.117
231,0.277,-0.172,1.922
232,-0.816,-0.270,-0.082
233,-0.047,-0.035,-0.027
234,1.707,0.148,1.395
235,0.578,0.379,1.527
236,-0.867,0.227,1.770
237,-0.848,0.301,1.555
238,0.699,0.145,1.438
239,0.262,-0.008,1.125
240,-1.871,-0.070,0.008
241,-0.684,-0.086,1.281
242,0.789,-0.137,1.797
243,-0.141,-0.477,-0.188
244,-0.441,-0.379,-0.250
245,-0.969,-0.172,0.988
246,0.262,-0.160,0.594
247,1.477,-0.074,0.355
248,-0.738,0.375,1.605
249,-1.062,0.496,1.457
250,1.477,0.148,0.168
251,1.809,0.215,1.562
252,-0.391,0.383,1.879
253,-1.066,0.215,0.672
254,0.273,-0.027,0.168
255,0.816,0.180,1.230
256,-0.410,0.215,1.988
257,-0.867,-0.215,0.738
258,-0.867,-0.215,0.738
259,0.141,-0.363,0.176
260,0.277,-0.125,0.043
261,0.027,0.039,1.047
262,-1.531,0.082,1.793
263,-1.406,-0.098,0.570
264,0.875,-0.293,0.258
265,0.879,0.039,0.863
266,-0.469,0.246,1.145
267,0.926,-0.016,1.512
268,1.383,-0.293,0.973
269,-0.488,-0.352,0.879
270,-1.266,0.004,0.477
271,0.000,0.270,1.559
272,1.305,0.348,1.848
273,0.828,-0.016,0.746
274,-1.441,-0.410,-0.379
275,-0.926,0.043,0.812
276,0.055,0.445,1.992
277,0.168,0.125,1.020
278,0.168,0.125,1.020
279,-0.324,-0.199,-0.023
280,-0.949,-0.289,-0.027
281,0.762,-0.070,0.551
282,1.176,0.262,1.926
283,-0.930,0.277,1.211
284,-0.273,-0.043,-0.254
285,0.898,0.031,0.816
286,0.430,0.305,1.930
287,-0.914,0.121,1.172
288,-0.363,-0.203,-0.516
289,1.449,0.184,1.500
290,0.293,0.379,1.957
291,-1.688,0.062,0.238
292,-0.836,-0.078,-0.445
293,0.957,-0.051,0.930
294,0.586,0.195,1.859
295,-1.172,0.133,1.656
296,-1.207,-0.320,-0.016
297,1.277,-0.570,-0.910
298,1.305,-0.152,0.605
299,-0.816,0.363,1.992
300,-1.043,-0.016,1.715
301,1.344,-0.367,0.355
302,1.355,-0.418,0.398
303,-1.496,0.363,1.945
304,-1.250,0.273,1.512
305,1.188,-0.031,0.359
306,1.367,-0.398,-0.512
307,-1.168,-0.023,0.715
308,-1.992,0.406,1.977
309,-0.465,0.234,1.648
310,1.770,-0.141,0.301
311,0.445,-0.309,-0.426
312,-0.656,-0.090,-0.090
313,-0.453,0.336,1.703
314,0.328,0.492,1.887
315,1.316,-0.129,0.074
316,0.332,-0.188,-0.285
317,-0.730,0.258,1.523
318,-0.621,0.738,1.988
319,0.707,0.352,0.562
320,1.449,-0.027,-0.680
321,-0.566,-0.035,0.973
322,-1.941,0.105,1.875
323,-0.277,-0.105,0.715
324,1.309,-0.258,0.316
325,0.668,-0.191,1.348
326,-1.379,-0.191,1.324
327,-1.027,-0.168,0.723
328,1.594,-0.125,0.961
329,1.648,-0.188,0.082
330,-1.141,0.121,1.270
331,-1.992,0.418,1.992
332,-0.410,0.074,0.883
333,1.992,-0.488,-0.891
334,1.090,-0.129,0.227
335,-1.875,0.371,1.859
336,-1.637,0.406,1.973
337,0.984,0.109,1.055
338,1.863,-0.348,-0.312
339,-0.152,-0.172,-0.500
340,-1.410,0.102,1.051
341,0.133,0.316,1.992
342,1.293,-0.125,1.500
343,-0.172,-0.227,0.473
344,-1.203,0.113,0.289
345,-0.234,0.305,1.141
346,0.879,0.242,1.324
347,0.188,-0.004,0.695
348,-0.719,0.035,1.277
349,-0.684,0.020,1.848
350,0.289,-0.039,0.746
351,0.570,-0.203,-0.277
352,-0.363,0.105,1.211
353,-0.137,0.086,1.852
354,0.305,-0.168,0.750
355,0.051,-0.168,0.234
356,-0.098,0.336,1.426
357,0.043,0.227,1.062
358,0.645,-0.039,0.770
359,0.168,-0.105,1.238
360,-0.527,-0.020,0.754
361,0.059,0.012,0.832
362,0.414,0.371,1.922
363,-0.117,0.008,0.898
364,-0.281,-0.375,-0.219
365,-0.109,-0.250,0.871
366,-0.125,0.004,1.840
367,0.016,0.105,1.488
368,0.004,-0.105,0.441
369,0.031,-0.160,0.379
370,-0.398,-0.055,0.781
371,-0.695,0.254,1.324
372,0.227,0.305,1.605
373,0.648,0.184,1.016
374,0.133,0.031,0.488
375,-0.734,0.070,0.902
376,-0.371,-0.012,1.215
377,0.434,-0.113,0.988
378,0.531,-0.152,1.031
379,-0.238,-0.066,1.477
380,-0.676,-0.062,0.582
381,0.555,-0.137,-0.230
382,0.941,0.035,0.836
383,-0.398,0.211,1.992
384,-1.273,0.051,1.328
385,-0.273,0.055,0.184
386,1.309,0.047,0.129
387,0.477,0.164,0.996
388,-1.191,0.168,1.930
389,-0.695,-0.062,1.715
390,0.840,-0.348,0.020
391,0.930,-0.086,0.203
392,-0.309,0.172,1.113
393,-1.066,0.188,1.559
394,-0.203,0.008,1.969
395,0.656,-0.113,1.180
396,0.281,-0.129,-0.172
397,-0.082,-0.062,-0.016
398,-0.191,0.074,1.562
399,-0.648,0.051,1.660
400,-0.535,0.090,0.875
401,0.227,0.027,0.645
402,0.602,-0.012,0.250
403,0.340,-0.242,0.207
404,-0.965,0.031,1.367
405,-0.590,0.254,1.859
406,0.367,0.148,0.906
407,0.227,0.008,0.652
408,-0.031,-0.078,1.469
409,-0.145,-0.078,1.195
410,0.047,-0.059,0.656
411,0.133,0.094,1.211
412,-0.430,0.078,1.047
413,-0.516,-0.102,0.516
414,0.398,0.055,1.492
415,0.598,0.145,1.387
416,0.250,-0.070,0.117
417,-0.125,-0.152,0.234
418,-0.086,0.066,1.453
419,0.398,0.152,1.992
420,-0.316,-0.223,0.535
421,-0.125,-0.379,-1.160
422,0.855,-0.027,0.734
423,0.117,0.488,1.992
424,-0.617,0.188,1.656
425,-0.723,-0.156,0.242
426,-0.176,-0.133,-0.371
427,0.457,0.270,0.867
428,0.070,0.449,1.988
429,-0.375,0.020,1.586
430,-0.445,-0.527,-0.109
431,-0.074,-0.555,-0.207
432,0.512,0.062,1.188
433,0.000,0.523,1.953
434,-0.695,0.445,1.750
435,-0.008,-0.191,0.176
436,0.891,-0.625,-0.805
437,0.316,-0.164,1.082
438,-0.855,0.488,1.992
439,-1.066,0.387,1.195
440,0.117,-0.094,-0.074
441,0.785,-0.262,-0.008
442,0.387,-0.020,1.688
443,-0.391,0.246,1.867
444,-0.312,-0.031,0.395
445,0.457,-0.152,0.066
446,0.062,0.000,0.781
447,-0.859,0.191,1.500
448,-0.211,0.117,1.363
449,1.004,-0.016,0.625
450,1.184,-0.039,1.023
451,-0.348,0.109,1.660
452,-1.262,0.113,0.840
453,0.059,0.062,0.660
454,1.020,-0.129,0.855
455,0.391,-0.172,0.750
456,-0.887,0.059,1.133
457,-0.688,0.168,1.133
458,0.988,0.004,0.809
459,0.695,-0.148,1.094
460,-1.246,-0.191,1.043
461,-1.359,-0.203,0.668
462,0.605,-0.117,0.633
463,1.395,0.105,0.855
464,-0.098,0.207,1.770
465,-1.117,0.047,1.410
466,-0.348,-0.098,0.324
467,0.578,0.066,0.453
468,0.324,0.320,1.211
469,-0.625,0.199,1.586
470,-0.801,0.000,1.535
471,0.535,-0.113,0.895
472,0.793,-0.070,0.469
473,-0.684,0.152,0.535
474,-0.832,0.148,0.742
475,0.504,-0.168,1.090
476,0.629,-0.250,1.297
477,-0.512,-0.082,0.617
478,-0.727,0.172,0.777
479,0.688,0.270,1.328
480,1.246,0.098,1.188
481,-0.039,-0.137,1.035
482,-0.883,-0.172,1.242
483,-0.164,-0.016,1.133
484,0.605,0.082,0.578
485,0.441,0.164,1.023
486,-0.352,0.109,1.414
487,-0.055,-0.109,1.078
488,0.297,-0.172,0.938
489,-0.285,0.156,1.258
490,-0.285,0.113,0.805
491,0.012,-0.141,0.082
492,0.266,-0.230,0.699
493,0.023,-0.125,1.812
494,-0.523,-0.164,1.008
495,0.164,0.023,0.617
496,0.477,0.227,0.941
497,-0.457,0.293,0.996
498,-0.855,0.266,1.023
499,0.125,0.062,0.965
500,0.719,-0.031,1.328
501,-0.520,0.066,1.590
502,-0.957,0.000,0.406
503,0.355,-0.121,0.051
504,0.434,-0.059,1.238
505,-0.988,0.066,1.734
506,-0.445,-0.062,0.840
507,0.816,-0.207,0.348
508,0.727,-0.070,1.055
509,-0.336,0.047,1.262
510,-0.523,0.039,0.492
511,0.074,0.309,1.492
512,0.371,0.340,1.863
513,0.785,-0.129,0.656
514,0.391,-0.309,0.242
515,-0.457,-0.039,1.223
516,-0.145,0.277,1.867
517,0.305,0.039,0.668
518,-0.230,-0.129,0.402
519,-0.445,-0.141,1.234
520,0.344,-0.148,0.719
521,0.633,-0.078,0.617
522,-0.453,0.043,1.266
523,-0.688,0.070,1.117
524,0.250,-0.059,0.605
525,0.324,-0.086,0.820
526,-0.258,-0.074,0.863
527,-0.492,0.078,1.016
528,0.324,0.168,1.895
529,0.789,-0.047,1.133
530,-0.008,-0.309,-0.336
531,-1.215,0.098,1.012
532,-0.980,0.531,1.992
533,0.719,0.125,1.137
534,0.664,-0.102,-0.254
535,-0.789,0.078,0.977
536,-0.688,0.238,1.500
537,0.621,-0.086,0.484
538,0.453,-0.105,0.516
539,-1.117,0.105,1.617
540,-0.812,0.016,1.344
541,1.039,-0.242,0.250
542,0.812,-0.270,0.160
543,-0.359,0.168,1.500
544,-0.430,0.227,1.816
545,-0.023,-0.074,1.254
546,0.102,-0.188,0.707
547,-0.176,-0.152,0.258
548,-0.148,0.094,0.949
549,0.195,0.203,1.812
550,0.305,0.031,1.293
551,0.168,-0.254,0.008
552,-0.293,-0.066,0.840
553,-0.160,-0.020,1.504
554,0.219,-0.094,1.234
555,0.172,-0.180,0.438
556,0.023,-0.066,0.902
557,0.133,0.117,1.777
558,0.359,-0.035,1.031
559,-0.172,0.035,0.348
560,-0.504,0.258,0.758
561,0.102,0.449,1.664
562,0.438,0.191,1.320
563,-0.113,-0.152,0.418
564,-0.156,-0.242,0.473
565,0.148,-0.004,0.844
566,-0.234,0.113,1.562
567,-0.340,0.059,1.812
568,0.121,-0.379,0.113
569,-0.062,-0.340,-0.531
570,-0.301,0.227,1.293
571,-0.062,0.598,1.992
572,0.121,0.223,1.598
573,-0.137,-0.230,0.613
574,-0.742,-0.215,0.035
575,-0.469,-0.031,-0.012
576,0.324,0.344,1.594
577,0.418,0.418,1.992
578,0.348,-0.371,0.297
579,-0.230,-0.422,-1.297
580,-0.344,0.070,0.465
581,0.336,0.488,1.977
582,0.262,0.324,1.867
583,-0.469,-0.273,0.395
584,-0.086,-0.516,-0.633
585,0.715,-0.199,0.172
586,0.441,0.234,1.738
587,-0.809,0.352,1.992
588,-0.707,-0.086,1.203
589,0.473,-0.387,-0.758
590,0.473,0.023,0.008
591,-0.242,0.453,1.895
592,0.133,0.273,1.613
593,0.633,-0.344,0.211
594,0.129,-0.367,0.664
595,-0.625,-0.086,0.723
596,-0.410,0.008,0.578
597,0.344,0.281,1.438
598,0.562,0.219,1.891
