Sample,X,Y,Z
218,0.492,0.348,0.586
219,0.336,-0.070,1.629
220,0.418,0.109,1.742
221,1.305,0.848,0.559
222,0.277,0.590,-0.102
223,-0.547,0.316,1.402
224,0.094,0.430,1.641
225,0.258,0.281,1.660
226,0.613,0.668,1.082
227,0.590,0.578,0.336
228,0.293,0.281,1.129
229,0.691,0.012,1.598
230,0.469,0.637,0.977
231,0.375,0.652,0.375
232,-0.359,0.105,1.133
233,-0.141,-0.133,1.445
234,0.492,0.434,0.270
235,1.012,0.332,1.160
236,0.938,0.465,0.641
237,0.289,0.270,0.238
238,0.215,0.207,1.238
239,0.148,0.211,1.773
240,0.773,0.465,0.992
241,0.789,0.656,0.508
242,0.582,0.406,0.723
243,0.617,0.199,0.988
244,0.125,0.262,1.105
245,0.375,0.844,1.258
246,0.375,0.578,1.684
247,-0.492,0.109,1.340
248,-0.500,0.211,0.082
249,0.289,0.324,0.363
250,1.316,0.520,1.844
251,1.777,0.176,1.340
252,0.605,-0.109,0.160
253,0.355,0.230,0.203
254,0.641,0.355,0.781
255,-0.305,0.828,1.168
256,-0.773,-0.156,1.973
257,-0.016,0.129,0.641
258,0.383,0.305,1.621
259,0.504,0.684,0.328
260,1.281,0.121,0.375
261,0.332,0.535,0.270
262,0.352,0.164,1.875
263,-0.234,0.344,1.242
264,-0.461,0.184,1.566
265,0.285,0.289,0.672
266,0.180,0.969,0.195
267,0.641,0.141,1.977
268,0.895,0.059,1.246
269,0.422,0.270,0.641
270,0.582,0.109,1.086
271,0.539,0.707,0.477
272,-0.168,0.203,1.398
273,-0.547,-0.074,1.000
274,-0.430,-0.477,0.648
275,0.539,0.418,0.430
276,1.637,0.184,1.191
277,0.578,0.430,0.238
278,-0.121,0.000,1.227
279,-0.195,-0.340,0.785
280,0.047,0.613,0.996
281,-0.277,-0.148,1.715
282,0.031,0.754,-0.633
283,0.219,-0.547,1.852
284,0.441,0.555,1.262
285,1.035,0.309,1.586
286,0.535,0.359,0.383
287,-0.090,-0.574,1.359
288,0.215,0.441,0.387
289,-0.027,-0.223,1.895
290,-0.133,-0.020,0.336
291,0.074,0.016,1.148
292,0.176,-0.293,-0.266
293,-0.129,-0.102,1.062
294,0.523,0.379,1.070
295,0.266,-0.215,0.996
296,-0.777,0.031,1.023
297,-0.203,0.172,0.461
298,-0.035,-0.148,1.258
299,0.660,0.641,0.727
300,0.535,-0.418,1.934
301,0.039,0.586,-0.289
302,-0.066,0.141,1.719
303,0.133,0.312,0.949
304,-0.184,-0.445,1.363
305,-0.316,-0.145,0.195
306,0.012,-0.301,1.012
307,-0.137,0.145,0.680
308,0.777,0.180,1.121
309,-0.453,-0.426,1.059
310,0.102,0.270,-0.043
311,-0.004,-0.062,1.445
312,-0.180,-0.273,1.391
313,0.191,0.223,1.160
314,0.863,0.145,0.562
