Sample,X,Y,Z
0,0.066,0.105,1.031
1,0.055,-0.020,1.004
2,0.051,-0.023,1.008
3,0.051,-0.020,1.008
4,0.059,-0.020,1.012
5,0.055,-0.020,1.008
6,0.055,-0.020,1.008
7,0.051,-0.016,1.004
8,0.051,-0.012,1.004
9,0.055,-0.020,1.012
10,0.059,-0.020,1.000
11,0.059,-0.023,1.000
12,0.059,-0.016,1.000
13,0.062,-0.023,1.000
14,0.051,-0.023,1.004
15,0.055,-0.023,1.000
16,0.051,-0.020,1.000
17,0.059,-0.020,0.996
18,0.062,-0.020,1.012
19,0.055,-0.020,1.008
20,0.059,-0.004,0.977
21,0.055,-0.020,1.008
22,0.059,-0.020,1.004
23,0.051,-0.012,1.000
24,0.051,-0.016,1.000
25,0.051,-0.020,1.004
26,0.055,-0.016,1.008
27,0.059,-0.023,1.004
28,0.047,-0.023,1.000
29,0.055,-0.023,1.004
30,0.055,-0.020,0.996
31,0.062,-0.023,1.004
32,0.055,-0.020,1.000
33,0.055,-0.016,1.000
34,0.047,-0.016,1.004
35,0.047,-0.020,1.008
36,0.059,-0.016,1.000
37,0.059,-0.016,1.008
38,0.055,-0.020,1.004
39,0.051,-0.020,1.000
40,0.059,-0.016,0.957
41,0.055,-0.012,1.016
42,0.055,-0.020,1.004
43,0.062,-0.020,1.004
44,0.059,-0.020,1.000
45,0.055,-0.020,1.008
46,0.055,-0.023,1.004
47,0.059,-0.020,1.004
48,0.055,-0.023,1.004
49,0.059,-0.020,0.996
50,0.059,-0.023,1.020
51,0.051,-0.023,0.996
52,0.047,-0.023,1.012
53,0.059,-0.012,1.004
54,0.055,-0.020,1.008
55,0.059,-0.020,1.000
56,0.055,-0.023,1.000
57,0.059,-0.020,1.000
58,0.055,-0.020,1.008
59,0.055,-0.016,1.004
60,0.062,-0.012,0.938
61,0.059,-0.023,1.008
62,0.059,-0.023,1.004
63,0.059,-0.023,1.008
64,0.059,-0.023,1.004
65,0.051,-0.016,1.000
66,0.051,-0.016,1.004
67,0.062,-0.020,1.012
68,0.055,-0.016,0.996
69,0.051,-0.023,1.008
70,0.051,-0.020,1.020
71,0.055,-0.016,1.000
72,0.055,-0.012,1.000
73,0.043,-0.016,1.004
74,0.051,-0.020,1.008
75,0.055,-0.020,1.000
76,0.051,-0.027,1.012
77,0.059,-0.023,0.992
78,0.055,-0.020,1.004
79,0.059,-0.020,1.000
80,0.047,-0.016,1.004
81,0.055,-0.020,1.004
82,0.051,-0.020,1.000
83,0.059,-0.023,1.008
84,0.055,-0.020,1.012
85,0.059,-0.023,1.004
86,0.059,-0.016,1.008
87,0.051,-0.020,1.008
88,0.055,-0.020,1.012
89,0.051,-0.016,1.004
90,0.059,-0.008,1.000
91,0.141,0.102,1.008
92,0.367,0.422,1.184
93,0.617,0.715,1.426
94,0.438,0.695,1.523
95,0.215,0.539,1.441
96,0.258,0.609,1.586
97,0.621,0.762,1.727
98,0.715,0.855,1.453
99,0.258,0.543,0.988
100,-0.082,0.270,0.520
101,0.246,0.230,0.844
102,0.871,0.465,0.684
103,0.852,0.266,0.359
104,0.523,-0.113,-0.043
105,0.648,-0.199,-0.055
106,0.922,0.301,0.320
107,0.891,0.570,0.891
108,0.328,0.559,0.645
109,-0.316,0.246,0.805
110,0.117,0.086,1.488
111,1.133,0.695,1.738
112,1.430,1.109,1.598
113,0.781,0.773,1.043
114,-0.113,0.176,0.887
115,0.027,-0.199,1.461
116,0.727,0.246,1.707
117,0.883,0.582,1.289
118,0.211,0.359,0.348
119,0.016,0.016,0.477
120,0.070,-0.395,1.098
121,0.531,0.008,1.043
122,0.398,0.328,0.809
123,-0.234,0.273,0.441
124,-0.293,0.414,0.348
125,0.195,0.262,1.398
126,0.426,0.469,1.270
127,0.551,0.469,1.797
128,0.344,0.672,1.293
129,0.258,0.777,0.699
130,0.316,0.617,1.625
131,0.289,0.410,1.438
132,0.234,0.449,1.230
133,0.207,0.293,1.527
134,0.355,0.480,0.805
135,0.547,0.582,0.688
136,0.828,0.301,0.383
137,0.660,-0.039,0.891
138,0.297,0.027,0.512
139,0.102,0.148,0.043
140,0.395,0.461,0.301
141,0.660,0.543,1.121
142,0.609,0.020,1.871
143,0.230,-0.102,1.484
144,0.598,0.723,0.141
145,0.848,0.617,0.480
146,0.695,0.613,1.191
147,0.559,-0.020,1.496
148,0.355,0.305,0.867
149,0.613,0.605,1.352
150,0.480,0.371,1.125
151,0.293,0.203,1.387
152,0.512,0.234,0.852
153,0.434,0.309,1.023
154,0.309,0.363,0.676
155,0.289,-0.059,0.477
156,0.164,-0.004,0.445
157,0.719,0.172,1.102
158,0.902,0.445,1.754
159,0.430,0.676,1.551
160,-0.270,0.457,1.105
161,-0.586,0.191,0.570
162,-0.297,-0.039,1.207
163,0.520,0.578,0.949
164,0.723,0.875,0.887
165,0.609,0.309,1.602
166,0.328,0.371,1.586
167,0.430,0.602,1.098
168,0.215,0.480,0.992
169,0.094,0.230,0.785
170,0.293,0.281,0.383
171,0.523,0.328,0.559
172,0.633,0.367,1.250
173,0.992,0.445,1.660
174,0.422,0.062,1.121
175,-0.141,0.328,0.320
176,-0.098,0.160,0.438
177,0.180,0.469,0.555
178,0.840,0.340,1.488
179,0.754,0.062,1.504
180,0.750,0.035,0.891
181,0.605,0.660,-0.012
182,0.441,0.715,0.719
183,0.734,0.555,1.605
184,0.477,0.078,1.992
185,0.387,0.066,1.074
186,0.184,0.371,0.781
187,0.613,0.645,-0.891
188,0.570,0.676,0.918
189,0.453,0.297,1.992
190,0.707,0.016,1.113
191,0.184,0.379,0.789
192,0.012,0.137,0.172
193,-0.184,0.336,0.480
194,0.605,0.195,1.973
195,0.992,0.160,0.988
196,0.352,1.098,-0.121
197,0.621,0.035,0.660
198,0.203,-0.062,1.625
199,-0.438,0.691,1.680
200,0.711,0.566,0.922
201,0.363,0.773,1.555
202,0.285,0.230,1.535
203,-0.199,0.508,0.672
204,0.309,0.441,0.781
205,0.836,0.391,1.105
206,0.719,0.672,0.590
207,-0.180,-0.172,1.117
208,0.246,0.312,0.824
209,0.145,0.477,1.062
210,0.531,0.383,0.648
211,0.371,0.238,0.668
212,0.578,0.242,0.762
213,0.996,0.375,1.305
214,0.863,0.227,1.324
215,0.312,0.465,0.832
216,0.004,0.281,1.215
217,0.051,-0.027,0.402
218,0.250,0.582,1.352
219,0.340,0.438,1.680
220,0.758,0.324,0.555
221,0.605,0.023,1.312
222,0.836,0.695,0.918
223,0.871,0.504,0.836
224,0.195,0.391,1.070
225,-0.418,0.281,1.133
226,-0.113,0.152,0.586
227,0.082,0.098,1.879
228,0.438,0.789,0.977
229,1.145,0.156,0.449
230,0.984,0.258,-0.777
231,0.148,-0.125,1.695
232,0.875,0.520,-0.020
233,0.234,0.480,1.480
234,0.164,0.613,1.812
235,-0.016,0.262,1.352
236,-0.270,0.270,0.793
237,0.371,0.754,0.672
238,0.863,0.586,1.395
239,0.207,0.148,1.371
240,0.758,0.520,0.773
241,0.551,0.434,0.594
242,0.422,0.688,1.707
243,0.375,-0.109,1.797
244,-0.695,0.297,-0.055
245,-0.090,0.195,0.648
246,0.539,0.559,-0.824
247,0.812,0.312,1.879
248,1.297,-0.332,1.043
249,0.570,0.504,0.258
250,0.219,0.281,0.387
251,0.242,-0.203,0.539
252,-0.609,-0.125,1.082
253,-0.355,0.074,0.992
254,0.270,0.129,0.672
255,-0.012,-0.133,0.668
256,-0.031,-0.688,0.801
257,0.453,0.277,0.535
258,0.344,0.008,1.535
259,0.355,-0.328,0.910
260,-0.719,-0.711,1.598
261,-0.324,0.305,0.152
262,0.383,0.035,1.820
263,-0.297,0.074,1.344
264,-0.453,-0.641,1.707
265,0.004,-0.047,0.469
266,0.418,0.113,1.715
267,0.387,-0.109,1.578
268,-0.598,0.027,0.977
269,-0.598,-0.582,0.578
270,-0.293,0.258,0.816
271,0.164,-0.133,1.988
272,-0.094,-0.246,1.078
273,-0.242,-0.152,0.312
274,-0.320,0.250,-0.332
275,0.148,-0.344,1.148
276,0.383,0.336,1.078
277,-0.066,-0.301,1.688
