Sample,X,Y,Z
0,0.059,0.133,1.027
1,0.055,-0.020,1.000
2,0.055,-0.023,0.996
3,0.059,-0.023,0.992
4,0.055,-0.016,1.016
5,0.055,-0.023,1.012
6,0.059,-0.016,1.000
7,0.055,-0.027,1.008
8,0.055,-0.020,1.004
9,0.051,-0.023,1.008
10,0.059,-0.023,1.008
11,0.062,-0.027,1.004
12,0.051,-0.023,1.008
13,0.055,-0.027,1.004
14,0.059,-0.023,1.000
15,0.059,-0.023,1.000
16,0.055,-0.020,1.000
17,0.055,-0.020,1.000
18,0.047,-0.020,1.008
19,0.047,-0.016,1.016
20,0.051,-0.023,1.094
21,0.051,-0.020,1.008
22,0.051,-0.016,1.008
23,0.055,-0.023,1.004
24,0.055,-0.016,1.004
25,0.051,-0.016,1.004
26,0.051,-0.020,1.000
27,0.062,-0.031,0.996
28,0.055,-0.023,1.000
29,0.055,-0.016,1.000
30,0.055,-0.027,1.000
31,0.059,-0.012,1.008
32,0.055,-0.020,1.004
33,0.055,-0.020,1.000
34,0.055,-0.020,1.000
35,0.055,-0.020,1.016
36,0.055,-0.020,1.008
37,0.055,-0.020,1.012
38,0.055,-0.023,0.996
39,0.059,-0.020,1.004
40,0.070,-0.035,1.035
41,0.051,-0.020,1.020
42,0.055,-0.020,1.008
43,0.059,-0.016,1.000
44,0.055,-0.016,1.004
45,0.047,-0.016,1.000
46,0.055,-0.027,1.000
47,0.051,-0.020,1.008
48,0.055,-0.016,1.012
49,0.055,-0.020,1.000
50,0.059,-0.016,1.000
51,0.059,-0.020,0.992
52,0.055,-0.023,0.996
53,0.055,-0.027,0.992
54,0.055,-0.020,1.000
55,0.055,-0.023,1.008
56,0.051,-0.016,1.008
57,0.051,-0.020,1.000
58,0.059,-0.023,1.004
59,0.055,-0.020,1.004
60,0.086,-0.031,0.973
61,0.051,-0.020,1.016
62,0.055,-0.020,1.004
63,0.047,-0.023,1.008
64,0.055,-0.023,1.008
65,0.051,-0.020,0.988
66,0.059,-0.023,1.004
67,0.051,-0.020,1.012
68,0.062,-0.020,1.008
69,0.059,-0.020,0.996
70,0.055,-0.020,0.992
71,0.059,-0.020,1.004
72,0.047,-0.020,1.004
73,0.051,-0.020,1.008
74,0.055,-0.020,1.000
75,0.051,-0.016,1.004
76,0.051,-0.020,1.004
77,0.051,-0.012,1.012
78,0.051,-0.016,1.004
79,0.051,-0.023,1.012
80,0.051,-0.027,1.055
81,0.055,-0.020,0.996
82,0.059,-0.027,1.004
83,0.062,-0.016,1.000
84,0.051,-0.020,1.008
85,0.059,-0.016,1.008
86,0.051,-0.008,1.012
87,0.055,-0.020,1.004
88,0.051,-0.023,0.996
89,0.055,-0.016,0.992
90,0.055,-0.020,1.008
91,0.055,-0.023,1.000
92,0.051,-0.016,1.004
93,0.059,-0.023,1.008
94,0.059,-0.027,1.004
95,0.129,0.086,1.012
96,0.270,0.367,1.258
97,0.430,0.570,1.516
98,0.273,0.500,1.496
99,0.137,0.371,1.453
100,0.480,0.488,1.461
101,0.836,0.867,1.555
102,0.910,0.832,1.723
103,0.668,0.633,0.910
104,0.211,0.387,0.238
105,0.180,0.344,0.332
106,0.508,0.504,0.832
107,0.473,0.434,1.070
108,0.285,0.266,0.133
109,0.219,-0.039,-0.059
110,0.613,0.074,-0.109
111,1.035,0.469,0.980
112,1.113,0.766,1.188
113,0.746,0.691,1.082
114,0.285,0.426,0.973
115,0.254,0.230,0.883
116,0.598,0.367,1.445
117,1.023,0.621,1.660
118,1.168,0.824,1.641
119,0.758,0.617,0.883
120,-0.059,0.066,0.477
121,-0.434,-0.266,0.137
122,0.129,0.102,0.777
123,0.844,0.320,1.992
124,0.727,0.391,1.914
125,-0.078,-0.129,0.340
126,-0.543,-0.309,-0.738
127,0.105,0.156,0.773
128,0.789,0.238,1.992
129,0.176,0.367,1.438
130,-0.445,0.301,0.117
131,0.000,0.184,0.746
132,0.910,0.383,1.668
133,0.992,0.656,1.887
134,0.418,0.410,1.574
135,-0.188,0.465,0.367
136,-0.070,0.328,1.180
137,0.375,0.562,1.383
138,0.562,0.793,0.926
139,0.465,0.656,0.816
140,-0.023,0.234,1.293
141,0.324,0.266,0.777
142,0.492,0.230,0.742
143,0.555,0.336,0.836
144,0.535,0.609,0.574
145,0.332,0.461,0.996
146,0.195,0.320,0.406
147,0.203,-0.047,0.332
148,0.527,0.180,0.340
149,1.480,0.535,1.477
150,1.426,0.867,1.844
151,0.746,0.488,0.922
152,-0.090,0.266,-0.012
153,-0.004,0.297,0.066
154,0.777,0.422,1.707
155,0.652,0.809,1.992
156,0.352,0.219,0.996
157,-0.363,0.074,-0.098
158,0.348,-0.059,0.270
159,0.934,0.637,1.180
160,1.121,0.598,1.953
161,0.035,0.215,1.363
162,-0.129,-0.223,1.164
163,0.051,-0.031,0.500
164,0.457,0.566,-0.633
165,0.465,0.211,1.465
166,0.102,0.098,1.977
167,0.438,0.105,1.086
168,0.652,0.484,0.262
169,0.473,0.363,0.094
170,0.070,0.449,1.863
171,0.305,0.336,1.840
172,-0.035,0.520,0.914
173,-0.125,0.277,0.527
174,-0.062,0.230,1.320
175,0.523,0.605,1.488
176,0.340,0.316,0.609
177,0.754,0.508,0.141
178,0.672,0.238,1.098
179,0.152,0.387,0.977
180,-0.172,0.297,1.277
181,0.484,0.391,1.082
182,0.668,0.500,1.109
183,0.598,0.309,0.438
184,0.617,0.152,0.613
185,1.102,0.488,0.516
186,0.551,0.398,1.348
187,0.285,0.504,1.535
188,0.355,0.438,1.473
189,0.355,0.359,0.637
190,0.176,0.312,0.383
191,0.508,0.309,0.496
192,0.555,0.629,1.539
193,0.672,0.469,1.707
194,0.543,0.367,0.746
195,0.176,-0.129,0.734
196,0.500,0.242,0.035
197,0.414,0.648,1.098
198,0.375,0.137,1.758
199,0.672,0.492,0.480
200,0.480,0.188,1.727
201,0.371,0.047,0.191
202,0.301,0.297,0.270
203,0.160,0.434,1.312
204,0.559,0.652,1.547
205,0.359,0.180,1.938
206,0.207,0.328,0.512
207,0.078,0.191,0.414
208,-0.078,0.820,0.672
209,0.348,0.527,1.898
210,0.059,0.152,1.422
211,0.379,-0.176,0.738
212,0.777,0.125,0.363
213,0.578,1.105,0.871
214,0.699,0.586,1.348
215,-0.145,0.316,0.953
216,-0.395,0.078,1.312
217,0.723,0.133,0.367
218,0.336,0.328,1.832
219,0.352,0.570,0.441
220,0.207,0.680,0.480
221,0.953,0.199,1.266
222,1.012,0.254,1.211
