Sample,X,Y,Z
0,0.020,-0.027,1.102
1,-0.016,0.016,0.980
2,-0.023,0.016,0.984
3,-0.016,0.016,0.988
4,-0.016,0.027,0.980
5,-0.023,0.008,0.984
6,-0.008,0.016,0.988
7,-0.012,-0.004,0.984
8,-0.016,0.012,0.980
9,-0.012,0.008,0.977
10,-0.020,0.008,0.977
11,-0.008,0.008,0.988
12,-0.023,0.008,0.988
13,-0.020,0.016,0.984
14,-0.020,0.012,0.980
15,-0.020,0.012,0.980
16,-0.020,0.008,0.988
17,-0.027,0.004,0.988
18,-0.016,0.012,0.977
19,-0.016,0.012,0.984
20,-0.023,0.070,0.973
21,-0.008,0.008,0.973
22,-0.023,0.016,0.984
23,-0.023,0.016,0.996
24,-0.016,0.012,0.984
25,-0.016,0.012,0.977
26,-0.020,0.012,0.996
27,-0.023,0.012,0.980
28,-0.016,0.008,0.973
29,-0.016,0.008,0.977
30,-0.023,0.008,0.988
31,-0.023,0.012,0.969
32,-0.016,0.004,0.977
33,-0.020,0.008,0.988
34,-0.023,0.016,0.977
35,-0.023,0.020,0.984
36,-0.012,0.016,0.984
37,-0.016,0.016,0.984
38,-0.027,0.008,0.980
39,-0.012,0.016,0.984
40,-0.027,0.090,0.961
41,-0.027,0.000,0.984
42,-0.020,0.000,0.977
43,-0.016,0.008,0.980
44,-0.027,0.008,0.996
45,-0.023,0.012,0.980
46,-0.016,0.004,0.969
47,-0.020,0.020,0.992
48,-0.031,0.016,0.996
49,-0.020,0.012,0.969
50,-0.016,0.012,0.980
51,-0.020,0.020,0.992
52,-0.027,0.004,0.977
53,-0.012,0.012,0.977
54,-0.008,0.008,0.988
55,-0.020,0.008,0.980
56,-0.023,0.016,0.988
57,-0.020,0.012,0.992
58,-0.020,0.008,0.980
59,-0.027,0.012,0.984
60,0.000,0.012,1.000
61,-0.016,0.004,0.973
62,-0.023,0.012,0.977
63,-0.023,0.004,0.996
64,-0.012,0.012,0.984
65,-0.016,0.008,0.980
66,-0.020,0.004,0.980
67,-0.023,0.004,0.984
68,-0.012,0.008,0.977
69,-0.016,0.023,0.980
70,-0.027,0.012,0.980
71,-0.012,0.012,0.984
72,-0.023,0.016,0.984
73,-0.016,0.008,0.988
74,-0.016,0.016,0.980
75,-0.020,0.000,0.984
76,-0.016,0.004,0.984
77,-0.027,0.008,0.980
78,-0.016,0.020,0.984
79,-0.023,0.020,0.984
80,-0.020,0.020,0.980
81,-0.023,0.004,0.980
82,-0.016,0.012,0.984
83,-0.027,0.016,0.988
84,-0.012,0.008,0.977
85,-0.020,0.004,0.969
86,-0.016,0.012,0.992
87,-0.020,0.016,0.984
88,-0.016,0.012,0.973
89,-0.020,0.016,0.992
90,-0.023,0.020,0.992
91,-0.016,0.004,0.969
92,-0.016,0.000,0.980
93,-0.012,0.020,0.988
94,-0.020,0.012,0.988
95,-0.012,0.008,0.973
96,-0.031,0.008,1.000
97,-0.152,0.016,1.078
98,-0.336,-0.035,1.129
99,-0.277,-0.129,0.926
100,-0.027,-0.160,0.746
101,-0.086,0.004,1.035
102,-0.445,0.113,1.281
103,-0.422,-0.051,0.891
104,-0.012,-0.203,0.527
105,0.160,-0.082,0.824
106,-0.109,0.168,1.352
107,-0.516,0.262,1.289
108,-0.516,0.168,0.852
109,-0.242,0.156,0.863
110,-0.141,0.305,1.309
111,-0.406,0.477,1.590
112,-0.684,0.457,1.352
113,-0.512,0.270,0.777
114,-0.180,0.070,0.395
115,-0.039,-0.016,0.730
116,-0.215,-0.055,1.133
117,-0.473,-0.148,0.711
118,-0.395,-0.133,0.328
119,-0.258,0.141,0.785
120,-0.531,0.453,1.414
121,-0.805,0.449,1.395
122,-0.703,0.238,0.750
123,-0.320,0.039,0.219
124,-0.270,0.062,0.543
125,-0.980,0.309,1.539
126,-1.398,0.379,1.973
127,-0.871,-0.020,0.898
128,-0.465,-0.375,-0.504
129,-0.734,-0.102,0.602
130,-1.188,0.445,1.977
131,-0.914,0.336,1.270
132,-0.398,-0.086,-0.727
133,-0.266,0.016,-0.336
134,-0.492,0.398,1.453
135,-0.895,0.609,1.984
136,-0.953,0.379,1.375
137,-0.352,-0.031,0.148
138,0.160,0.098,0.176
139,-0.039,0.527,1.469
140,-0.922,0.641,1.992
141,-1.387,0.172,1.695
142,-1.344,-0.414,0.426
143,-1.133,-0.316,0.160
144,-0.660,0.316,1.605
145,-0.301,0.625,1.988
146,-0.691,0.109,0.797
147,-1.289,-0.305,-0.582
148,-1.121,-0.086,0.062
149,-0.223,0.305,1.398
150,0.305,0.277,1.496
151,-0.344,-0.004,0.320
152,-1.074,-0.094,-0.480
153,-0.711,0.168,0.930
154,-0.449,0.379,1.727
155,-0.824,0.418,0.715
156,-0.898,0.645,0.926
157,-1.512,0.844,1.984
158,-1.992,0.691,1.281
159,-1.301,0.395,0.094
160,-0.137,0.617,1.055
161,-0.039,0.590,1.934
162,-1.617,0.426,1.062
163,-1.965,-0.012,-0.215
164,-0.848,-0.137,-0.500
165,0.730,0.062,0.527
166,0.180,0.301,1.617
167,-1.473,0.375,1.211
168,-1.109,0.094,1.016
169,-0.641,-0.047,0.957
170,-1.262,0.109,0.754
171,-1.039,0.402,1.363
172,-0.109,0.414,1.074
173,0.293,0.219,0.734
174,-0.949,0.344,1.391
175,-1.992,0.367,1.754
176,-1.219,0.277,1.469
177,0.953,0.000,0.426
178,0.441,-0.098,0.078
179,-1.469,0.031,0.289
180,-1.906,0.090,1.379
181,-0.457,0.039,1.023
182,0.785,-0.113,0.980
183,-0.922,-0.004,0.836
184,-1.820,0.246,0.832
185,-0.887,0.246,0.785
186,-0.152,0.176,0.188
187,-0.672,0.195,0.449
188,-1.402,0.676,1.961
189,-1.492,0.887,1.992
190,-0.238,0.523,0.504
191,0.797,0.066,-1.078
192,-0.949,-0.078,-0.430
193,-1.922,0.098,0.797
194,-0.465,0.691,1.992
195,0.203,0.617,1.719
196,-0.363,0.246,-0.668
197,-1.234,-0.105,-1.301
198,-1.094,-0.039,1.242
199,-0.086,0.273,1.992
200,-0.203,0.113,1.066
201,-1.492,0.582,0.859
202,-1.902,0.449,0.691
203,-0.891,0.367,1.184
204,0.910,0.270,1.922
205,-0.219,0.145,1.504
206,-1.957,-0.086,-0.203
207,-1.297,-0.148,0.223
208,0.637,0.090,0.797
209,1.062,0.121,1.445
210,-0.957,-0.066,0.742
