Sample,X,Y,Z
0,0.047,0.238,1.012
1,0.078,-0.020,1.000
2,0.055,-0.012,1.008
3,0.051,-0.016,1.004
4,0.059,-0.020,1.016
5,0.055,-0.020,1.004
6,0.055,-0.020,1.012
7,0.055,-0.016,1.004
8,0.051,-0.012,1.008
9,0.055,-0.016,1.004
10,0.059,-0.020,0.992
11,0.059,-0.016,1.000
12,0.055,-0.016,1.012
13,0.059,-0.020,1.016
14,0.062,-0.020,1.008
15,0.059,-0.020,0.996
16,0.059,-0.016,0.996
17,0.059,-0.023,1.004
18,0.059,-0.016,1.012
19,0.055,-0.012,1.004
20,0.082,-0.020,0.875
21,0.055,-0.020,1.012
22,0.059,-0.016,1.012
23,0.062,-0.012,1.004
24,0.059,-0.020,1.008
25,0.059,-0.023,1.016
26,0.051,-0.012,1.004
27,0.055,-0.012,1.008
28,0.051,-0.020,1.016
29,0.055,-0.012,1.004
30,0.055,-0.023,1.004
31,0.055,-0.012,1.004
32,0.055,-0.020,1.004
33,0.059,-0.012,1.004
34,0.055,-0.020,1.012
35,0.059,-0.016,1.004
36,0.059,-0.016,1.004
37,0.059,-0.020,1.004
38,0.062,-0.012,0.996
39,0.059,-0.027,1.020
40,0.070,-0.020,0.902
41,0.059,-0.016,1.000
42,0.051,-0.016,1.004
43,0.059,-0.016,1.012
44,0.055,-0.012,1.004
45,0.066,-0.020,1.004
46,0.055,-0.016,1.004
47,0.059,-0.012,0.996
48,0.059,-0.023,1.008
49,0.062,-0.020,1.008
50,0.055,-0.020,1.000
51,0.055,-0.016,1.004
52,0.055,-0.016,1.008
53,0.059,-0.016,1.000
54,0.055,-0.020,1.000
55,0.062,-0.020,1.004
56,0.059,-0.012,1.004
57,0.059,-0.012,1.008
58,0.059,-0.016,0.996
59,0.059,-0.020,1.008
60,0.059,-0.012,0.918
61,0.062,-0.023,1.000
62,0.055,-0.012,1.000
63,0.051,-0.016,1.012
64,0.055,-0.016,1.004
65,0.059,-0.012,1.012
66,0.059,-0.020,1.004
67,0.062,-0.016,1.016
68,0.055,-0.020,1.004
69,0.062,-0.016,1.000
70,0.059,-0.016,1.000
71,0.059,-0.012,1.000
72,0.055,-0.016,1.008
73,0.055,-0.016,1.000
74,0.059,-0.012,1.008
75,0.062,-0.016,1.000
76,0.055,-0.020,1.008
77,0.066,-0.012,1.000
78,0.059,-0.020,1.016
79,0.059,-0.016,1.004
80,0.070,-0.012,0.895
81,0.059,-0.020,1.000
82,0.055,-0.016,1.012
83,0.059,-0.012,1.004
84,0.059,-0.016,1.012
85,0.059,-0.020,1.004
86,0.059,-0.023,1.004
87,0.055,-0.016,1.000
88,0.055,-0.012,1.012
89,0.055,-0.012,1.008
90,0.062,-0.012,1.004
91,0.059,-0.012,1.000
92,0.062,-0.020,0.996
93,0.062,-0.020,1.000
94,0.074,0.000,0.996
95,0.070,0.223,1.066
96,0.047,0.609,1.430
97,0.043,0.887,1.637
98,-0.012,0.750,1.555
99,-0.055,0.723,1.152
100,-0.039,0.812,1.125
101,-0.016,1.188,1.223
102,-0.027,1.004,1.395
103,-0.020,0.715,0.938
104,0.008,0.531,0.434
105,0.074,0.652,0.348
106,0.148,0.566,0.566
107,0.070,0.449,0.473
108,0.059,0.355,0.379
109,0.051,0.406,0.477
110,0.145,0.520,0.961
111,0.258,0.391,1.223
112,0.207,0.500,0.695
113,0.105,0.594,0.969
114,0.184,0.684,1.516
115,0.156,0.766,1.496
116,-0.016,0.641,1.367
117,-0.062,0.273,1.398
118,0.000,0.332,1.184
119,0.066,0.535,1.395
120,0.004,0.609,1.328
121,-0.004,0.402,0.953
122,0.000,0.066,0.980
123,0.098,0.102,0.863
124,0.098,0.426,0.703
125,0.039,0.336,0.828
126,-0.023,0.082,0.844
127,0.039,0.223,0.738
