Sample,X,Y,Z
215,0.848,0.285,0.484
216,0.859,-0.230,1.992
217,0.887,-0.016,0.863
218,0.523,-0.043,0.684
219,0.395,0.133,0.500
220,0.594,0.082,1.656
221,0.570,0.004,0.965
222,0.152,0.191,0.762
223,0.344,-0.168,1.199
224,0.695,0.145,0.992
225,0.605,-0.035,1.469
226,0.359,0.129,-0.172
227,0.371,0.273,0.773
228,0.852,0.051,1.875
229,0.836,-0.004,0.754
230,0.469,0.094,-0.023
231,0.133,-0.141,0.582
232,0.602,0.027,1.820
233,0.480,-0.117,1.848
234,0.547,0.141,0.293
235,0.719,0.098,-0.066
236,0.852,0.129,0.996
237,0.859,-0.332,1.992
238,0.547,-0.078,0.902
239,0.316,0.176,0.406
240,0.188,-0.207,1.641
241,0.500,-0.133,1.023
242,0.430,-0.047,0.809
243,0.395,-0.094,0.527
244,0.801,-0.051,1.109
245,0.879,-0.168,1.418
246,1.066,-0.266,0.621
247,0.223,-0.152,0.625
248,0.531,-0.051,0.418
249,0.172,-0.043,1.668
250,0.457,-0.059,0.598
251,0.734,-0.016,1.516
252,0.965,-0.203,0.918
253,0.715,0.246,0.129
254,0.332,-0.168,1.832
255,0.230,0.059,1.234
256,-0.648,0.234,0.887
257,-0.113,0.008,0.355
258,-0.027,-0.164,0.668
259,-0.527,0.020,1.906
260,0.082,0.234,0.375
261,-0.129,0.172,1.137
262,0.188,-0.211,1.027
263,0.406,0.094,0.164
264,-0.188,0.359,1.230
265,-0.105,0.008,1.535
266,-0.426,-0.238,1.285
267,-0.266,0.270,0.855
268,0.078,0.133,1.266
269,-0.629,0.000,1.008
270,-0.035,0.051,0.867
271,-0.402,-0.051,1.285
272,-0.305,0.055,1.172
273,-0.273,-0.309,0.570
274,-0.547,-0.352,0.938
275,-0.336,-0.180,1.617
276,0.070,0.273,1.031
277,0.156,0.090,1.723
278,0.109,-0.047,-0.102
279,0.156,-0.348,0.863
280,0.203,-0.199,1.070
281,0.277,-0.016,1.672
282,0.613,-0.188,1.027
283,0.176,-0.285,1.277
284,0.508,0.055,0.051
285,0.379,0.254,0.574
286,0.086,-0.051,1.812
287,0.121,-0.238,0.684
288,-0.242,-0.195,0.801
289,0.418,-0.145,1.137
290,0.621,0.031,1.621
291,0.293,0.156,0.523
292,0.246,-0.012,-0.309
293,-0.078,0.023,1.102
294,0.613,0.094,1.543
295,0.324,0.039,1.922
296,-0.223,0.004,0.102
297,-0.074,0.312,-0.336
298,-0.102,0.016,1.570
299,0.270,0.246,1.812
300,-0.074,-0.039,1.441
301,-0.352,-0.051,-0.113
302,-0.668,-0.008,0.160
303,-0.016,0.105,1.902
304,0.527,0.137,1.992
305,0.027,0.324,0.926
306,-0.113,0.043,-0.504
307,-0.469,-0.250,-0.188
308,-0.594,-0.129,1.828
309,0.320,-0.172,1.879
310,-0.316,0.320,0.812
311,-0.609,-0.215,-0.043
312,-0.262,-0.086,-0.648
313,0.145,-0.668,1.820
314,0.473,0.078,1.453
315,0.609,0.070,1.965
316,0.102,-0.078,0.777
317,-0.289,-0.113,0.148
318,0.109,-0.172,0.055
319,0.043,-0.105,0.891
320,0.312,-0.207,1.992
321,0.195,-0.262,1.559
322,-0.129,0.133,0.188
323,-0.051,0.078,-1.078
324,0.289,-0.098,1.375
325,0.293,-0.438,1.836
326,0.453,0.176,0.988
327,0.145,0.039,0.762
328,0.184,0.180,-0.141
329,0.145,-0.176,1.812
330,0.156,-0.008,0.934
331,0.289,0.141,0.953
332,0.062,-0.078,0.586
333,0.410,0.074,1.020
334,0.238,-0.039,1.676
335,0.047,0.336,0.602
336,-0.086,0.094,1.066
337,-0.176,0.102,0.543
338,-0.277,-0.031,1.484
339,-0.305,0.043,1.098
340,0.332,0.059,0.434
341,0.262,0.105,1.223
342,0.102,0.152,0.949
343,0.035,-0.070,0.598
344,-0.250,-0.203,1.059
345,-0.160,-0.078,1.223
346,-0.250,0.023,1.137
347,-0.191,-0.160,0.953
348,-0.004,-0.102,0.680
349,0.332,-0.082,1.570
350,0.203,0.008,1.359
351,0.055,-0.129,0.754
352,-0.105,-0.047,0.824
353,0.086,0.012,0.988
354,0.039,0.062,1.145
