Sample,X,Y,Z
207,-0.027,0.219,1.293
208,-0.465,-0.012,1.121
209,-1.086,-0.301,0.258
210,-0.672,-0.473,-0.215
211,-0.566,-0.195,0.645
212,-0.578,0.117,0.926
213,-0.664,-0.133,0.383
214,0.137,-0.398,0.148
215,-0.148,-0.449,0.180
216,-0.855,-0.262,0.789
217,-0.871,-0.168,0.770
218,-0.297,-0.301,0.770
219,-0.305,-0.430,1.277
220,-0.305,-0.227,1.012
221,-0.406,-0.285,1.000
222,-0.344,0.105,1.164
223,0.418,0.227,1.512
224,0.152,0.273,1.324
225,-0.297,0.246,0.992
226,0.012,0.434,1.250
227,0.824,0.555,1.246
228,1.270,0.418,1.141
229,0.816,0.465,1.762
230,0.730,0.215,1.113
231,1.320,0.250,0.754
232,1.051,0.234,0.773
233,0.340,0.414,1.246
234,0.211,0.383,1.891
235,-0.020,0.305,1.441
236,0.410,0.227,0.742
237,0.973,-0.055,1.359
238,-0.816,-0.098,1.555
239,-1.777,-0.508,0.676
240,-1.465,-0.406,0.254
241,-0.188,-0.344,0.832
242,-0.191,-0.492,0.824
243,-1.012,-0.480,-0.281
244,-0.797,-0.414,-0.039
245,0.426,-0.141,0.914
246,-0.090,-0.164,1.160
247,-1.074,-0.086,-0.062
248,-0.406,-0.094,0.234
249,0.465,0.281,1.867
250,0.664,0.055,0.879
251,-0.129,0.090,0.574
252,-0.539,0.293,1.707
253,0.238,0.180,1.941
254,-0.055,0.020,0.531
255,-0.605,-0.047,0.715
256,-0.496,0.305,1.988
257,0.285,0.184,1.180
258,1.066,0.156,0.695
259,0.254,0.215,1.070
260,-0.430,0.188,1.215
261,0.512,0.156,1.141
262,1.312,0.121,0.641
263,1.113,-0.031,0.953
264,0.164,-0.254,0.465
265,0.000,-0.188,0.172
266,0.922,-0.094,1.082
267,0.488,0.094,1.809
268,-0.551,0.031,1.473
269,-0.820,-0.105,0.730
270,-0.234,-0.020,1.320
271,-0.148,0.035,1.379
272,-0.949,0.047,0.828
273,-1.250,-0.031,1.141
274,-0.492,-0.121,1.312
275,0.207,-0.453,-0.500
276,0.215,-0.445,-0.777
277,-0.770,-0.188,1.074
278,-0.770,-0.188,1.074
279,-0.695,-0.023,1.992
280,-0.391,-0.465,0.586
281,-0.230,-0.184,-0.180
282,0.359,0.316,1.219
283,-0.641,0.453,1.324
284,-0.312,0.316,0.375
285,1.023,0.004,0.301
286,-0.289,0.121,1.480
287,-0.488,0.273,1.992
288,-0.703,0.133,1.414
289,0.480,0.055,0.242
290,1.977,0.137,0.852
291,0.340,0.258,0.566
292,-0.254,0.043,-0.398
293,0.688,0.031,1.277
294,-0.035,0.328,1.992
295,-0.008,0.254,1.992
296,0.027,0.219,1.301
297,0.738,0.141,0.191
298,1.363,-0.074,-0.680
299,0.281,0.043,-0.203
300,-0.836,0.141,1.934
301,-1.520,-0.039,1.766
302,-0.387,-0.465,-0.102
303,1.125,-0.238,0.137
304,0.289,-0.242,-1.266
305,-0.523,-0.391,-0.875
306,-0.793,-0.297,1.715
307,-1.457,-0.176,1.992
308,-0.430,-0.605,0.918
309,-0.395,-0.230,-1.328
310,0.293,0.188,-1.004
311,1.004,0.375,1.539
312,-0.895,0.336,1.992
313,-1.250,-0.176,1.324
314,0.188,0.027,-0.086
315,0.859,0.156,-0.719
316,0.477,0.156,0.047
317,-0.758,0.215,1.934
318,-0.477,0.016,1.844
319,1.426,-0.312,-0.336
320,1.043,0.215,-0.930
321,-0.355,0.484,1.168
322,-1.113,0.465,1.992
323,0.215,-0.051,1.121
324,1.055,-0.070,-1.129
325,0.133,0.473,0.359
326,-0.766,0.699,1.992
327,0.465,0.039,1.461
328,1.348,-0.527,-0.527
329,-0.375,0.078,-0.027
330,-0.906,0.617,1.625
331,0.629,0.184,1.836
332,1.172,-0.641,0.410
333,-0.746,-0.840,-0.664
334,-1.883,0.074,1.258
335,0.012,0.559,1.992
336,1.898,-0.055,0.996
337,0.219,-0.527,0.000
338,-1.992,-0.289,1.059
339,-1.992,-0.289,1.059
340,-1.074,-0.086,0.457
341,1.812,-0.070,0.207
342,0.836,0.164,1.789
343,-1.875,-0.094,1.699
344,-0.973,-0.773,-0.844
345,1.824,-0.520,-0.543
346,0.273,0.418,1.918
347,-1.941,0.566,1.578
348,0.172,-0.277,-0.996
349,1.469,-0.551,-0.566
350,0.129,0.113,1.855
351,-1.078,0.262,1.766
352,-0.738,0.180,0.555
353,0.598,0.496,1.648
354,0.469,0.316,1.359
355,-0.477,-0.250,-0.703
356,0.070,-0.156,0.273
357,0.691,0.422,1.992
358,0.035,0.332,1.391
359,-0.047,0.273,0.340
360,0.289,0.203,0.363
361,0.500,-0.188,-0.359
362,0.324,-0.062,1.004
363,-0.477,0.258,1.992
364,0.023,-0.051,1.223
365,0.445,0.059,0.680
366,-0.262,0.176,0.758
367,-0.656,-0.125,-0.145
368,-0.527,-0.293,1.195
